AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,PARK_FACIL,REG_FEE,COMMIS,SALES_PRICE,NULL
Anna Nagar,1591,157,1,1,4,No,317733,73323,12220490,1
Anna Nagar,1815,130,2,1,5,Yes,389212,201814,14415250,1
Adyar,1027,74,1,1,3,No,259018,40898,6816270,1
Karapakkam,1181,37,1,1,3,Yes,397342,193577,10188250,1
Velachery,1998,91,3,2,5,Yes,317782,121505,9346520,1
Karapakkam,1161,19,1,1,3,Yes,304875,147818,9238625,1
Karapakkam,643,192,1,1,2,Yes,200052,50013,4546625,1
T Nagar,1885,117,2,1,5,No,370688,63912,12782330,1
Adyar,674,92,1,1,2,No,238018,14425,7212670,1
Chrmpet,884,163,1,1,3,Yes,268028,138337,8646080,1
Karapakkam,1014,195,1,1,3,Yes,414617,115707,9642250,1
Adyar,719,43,1,1,2,No,171943,35270,4408790,1
Karapakkam,792,179,1,1,2,No,113759,65005,3250250,1
KK Nagar,2085,134,3,2,5,No,570279,279320,11638340,1
Chrompet,1048,6,1,1,3,Yes,433340,157578,13131500,1
Adyar,1069,159,1,1,3,No,224582,35091,7018200,1
Adyar,868,125,1,1,3,No,385077,48135,9626920,1
Karapakkam,862,78,1,1,2,No,300982,143651,6840500,1
Velachery,1658,143,2,1,4,No,495168,192565,13754660,1
Anna Nagar,1814,195,2,1,5,No,539186,256114,13479660,1
Karapakkam,1512,97,2,2,4,Yes,481263,86627,9625250,1
KK Nagar,2330,144,4,2,6,No,700269,331706,18428120,1
Karapakkam,507,145,1,1,2,Yes,122498,43235,3602875,1
Chrompet,863,80,1,1,3,No,304243,146876,10491150,1
Karapakkam,1622,78,2,2,4,Yes,293727,69935,6993500,1
Chrompet,796,79,1,1,2,No,202222,36111,7222220,1
Karapakkam,596,161,1,1,2,No,215629,99926,5259250,1
Chrompet,945,145,1,1,3,No,353456,33137,11045500,1
Chrompet,840,180,1,1,3,No,217338,74710,6791800,1
Anna Nagar,1799,39,1,1,4,No,329477,158149,13179060,1
T Nagar,1769,79,1,1,4,No,680240,144293,20613320,1
KK Nagar,1354,169,2,1,4,No,364655,233753,9350120,1
Anna Nagar,1979,151,2,1,5,Yes,493571,211530,14102030,1
Chrompet,1168,15,1,1,3,Yes,460901,144032,14403150,1
Velachery,1944,152,3,2,5,No,269721,80916,8990700,1
Karapakkam,1122,115,1,1,3,Yes,426925,85385,8538500,1
Velachery,1666,161,2,1,4,Yes,348980,122143,8724510,1
T Nagar,1977,52,2,1,5,Yes,419049,223493,13968290,1
KK Nagar,2237,28,4,2,6,No,706887,344381,18125300,1
Velachery,1760,42,2,1,4,No,306481,120980,8065300,1
Chrompet,1159,108,1,1,3,No,224499,80178,8017830,1
Chrompet,874,97,1,1,3,No,227589,121381,7586300,1
Adyar,1082,4,1,1,3,No,284144,110500,7892890,1
Chrompet,1079,37,1,1,3,Yes,266354,29595,9864980,1
Karapakkam,1112,140,1,1,3,No,214729,57261,4771750,1
Karapakkam,1188,97,1,1,3,No,327084,186905,9345250,1
T Nagar,1878,108,2,1,5,Yes,425847,239539,13307710,1
Velachery,1642,131,2,1,4,No,513344,190670,14666960,1
Chrompet,1032,16,1,1,3,No,184505,99349,7096350,1
T Nagar,1657,130,1,1,4,No,403102,138206,11517200,1
Chrompet,1060,99,1,1,3,Yes,331869,172080,12291450,1
Chrompet,782,80,1,1,2,No,224796,23255,7751590,1
Velachery,1958,182,3,2,5,No,340150,130057,10004420,1
KK Nagar,1511,68,2,1,4,Yes,411912,86214,9579340,1
Adyar,1177,48,1,1,3,Yes,410496,105255,10525540,1
KK Nagar,2427,50,4,2,6,Yes,690074,215648,14376540,1
Karapakkam,916,139,1,1,3,No,217539,90641,6042750,1
KK Nagar,1910,166,3,2,5,Yes,555443,283893,12343180,1
Adyar,877,58,1,1,3,Yes,381789,168436,11229080,1
T Nagar,1781,160,1,1,4,Yes,377534,104147,13018400,1
Velachery,1688,23,2,1,4,Yes,289451,115780,9648350,1
Karapakkam,500,113,1,1,2,No,169956,84978,3540750,1
Velachery,1597,10,2,1,4,No,230920,122676,7216250,1
Karapakkam,1670,167,2,2,4,Yes,427529,91613,10179250,1
KK Nagar,2211,49,3,2,5,No,385715,192858,12053600,1
Karapakkam,527,112,1,1,2,Yes,209570,72894,4555875,1
Adyar,921,94,1,1,3,No,342351,25676,8558785,1
Velachery,1631,196,2,1,4,Yes,351196,129388,9241990,1
Karapakkam,1624,2,2,2,4,Yes,412673,137558,9170500,1
Anna Nagar,1767,181,1,1,4,No,496863,147219,18402320,1
Karapakkam,517,75,1,1,2,No,134160,40560,3120000,1
Karapakkam,828,158,1,1,2,No,170499,95646,4158500,1
KK Nagar,1328,72,1,1,3,No,277069,221655,9235640,1
Anna Nagar,1734,119,1,1,4,Yes,552268,122726,15340770,1
Chrompet,804,25,1,1,3,Yes,323852,114915,10446850,1
T Nagar,1919,185,2,1,5,No,572722,176222,22027780,1
Velachery,1694,68,2,1,4,No,388753,157603,10506840,1
Velachery,1767,181,2,1,4,No,336409,189230,10512770,1
Velachery,1612,10,2,1,4,Yes,332863,85349,8534940,1
KK Nagar,1407,28,2,1,4,No,397305,92396,9239640,1
Karapakkam,1229,1,1,1,3,No,311157,188580,9429000,1
Karapakkam,1674,102,2,2,4,Yes,662563,172266,13251250,1
Velachery,1523,56,2,1,4,Yes,488111,183042,12202770,1
KK Nagar,2259,130,4,2,6,No,474972,225612,11874300,1
Adyar,1146,197,1,1,3,Yes,287606,62914,8987700,1
Velachery,1885,47,3,2,5,No,260308,113885,8134610,1
Anna Nagar,1712,173,1,1,4,Yes,681038,189177,18917730,1
Chrompet,717,130,1,1,2,No,248813,75398,7539800,1
Karapakkam,1101,23,1,1,3,Yes,315102,118163,6564625,1
KK Nagar,2158,118,3,2,5,No,468191,117048,9753980,1
Chrompet,823,114,1,1,3,No,231311,140439,8261100,1
Anna Nagar,1530,40,1,1,4,No,608885,295744,17396720,1
Anna Nagar,1817,131,2,1,5,Yes,345452,66433,13286630,1
Karapakkam,1311,99,1,1,3,No,183617,100693,5923125,1
Chrompet,819,12,1,1,3,No,302228,174362,11624150,1
Anna Nagar,1559,46,1,1,4,Yes,517955,258978,13630400,1
Karapakkam,532,0,1,1,2,Yes,198283,60347,4310500,1
Adyar,1182,178,1,1,3,Yes,492202,61525,15381325,1
Velachery,1957,173,3,2,5,No,625712,192527,16043910,1
Chrompet,1136,57,1,1,3,No,216301,83193,8319250,1
Karapakkam,1337,123,2,2,4,No,255448,117368,6904000,1
Anna Nagar,1899,102,2,1,5,Yes,414628,155486,12957140,1
Adyar,895,44,1,1,3,No,396282,132094,10161065,1
Velachery,1666,70,2,1,4,No,220283,102799,7342750,1
Velachery,1924,123,3,2,5,Yes,569577,117266,16752260,1
Adyar,968,27,1,1,3,Yes,558789,167637,13969720,1
Karapakkam,813,118,1,1,2,No,311681,112736,6631500,1
Adyar,1259,26,2,2,4,Yes,484766,106043,15148940,1
Anna Nagar,1555,43,1,1,4,Yes,561663,355720,18722090,1
Karapakkam,1033,181,1,1,3,No,134508,73368,4076000,1
Karapakkam,1275,116,1,1,3,No,269816,168635,8431750,1
KK Nagar,1916,11,3,2,5,No,420652,143907,11069780,1
Chrompet,714,76,1,1,2,Yes,175993,91516,7039700,1
KK Nagar,1488,185,2,1,4,No,527646,287807,11991960,1
Karapakkam,1591,43,2,2,4,Yes,382503,165172,8693250,1
Chrompet,1075,190,1,1,3,Yes,282611,136433,9745200,1
KK Nagar,1603,181,2,1,4,Yes,409532,243769,9750760,1
KK Nagar,1852,148,3,2,5,Yes,333894,183103,10770760,1
Karapakkam,1504,129,2,2,4,No,207878,154232,6705750,1
KK Nagar,1950,189,3,2,5,No,602996,293767,15461440,1
Adyar,1279,44,2,2,4,No,453580,137449,13744855,1
Anna Nagar,1931,164,2,1,5,No,403988,201994,13466270,1
Adyar,1066,197,1,1,3,No,434292,120637,12063670,1
Karapakkam,651,139,1,1,2,Yes,276423,72397,6581500,1
Chrompet,809,88,1,1,3,No,201426,86326,7193800,1
Karapakkam,1363,117,2,2,4,Yes,281593,152213,7610625,1
Chrompet,897,178,1,1,3,No,189618,98320,7022890,1
Karapakkam,630,97,1,1,2,No,209843,64951,4996250,1
Adyar,678,3,1,1,2,Yes,195794,48949,5438735,1
Chrompet,740,155,1,1,2,No,233520,88576,8052400,1
KK Nagar,1507,88,2,1,4,Yes,656711,305447,15272340,1
Adyar,999,191,1,1,3,No,370341,83625,11946470,1
Karapakkam,1632,156,2,2,4,No,564492,258726,11760250,1
Karapakkam,1162,132,1,1,3,Yes,276301,66982,8372750,1
KK Nagar,2042,126,3,2,5,Yes,769757,342114,17105720,1
KK Nagar,1321,158,1,1,3,No,419486,158472,9321900,1
Adyar,661,88,1,1,2,No,263583,21965,7321755,1
Karapakkam,1275,73,1,1,3,No,436439,162396,10149750,1
T Nagar,1991,139,2,1,5,Yes,731292,137117,22852890,1
Chrompet,998,105,1,1,3,Yes,258903,120821,8630100,1
Velachery,1904,68,3,2,5,Yes,329723,169858,9991620,1
T Nagar,1655,184,1,1,4,No,528381,69524,13904760,1
Velachery,1644,139,2,1,4,No,424361,108811,10881060,1
Anna Nagar,1804,32,2,1,5,Yes,336275,107608,13450990,1
Chrompet,1216,4,2,1,4,Yes,487556,267369,15727600,1
Velachery,1716,20,2,1,4,Yes,336109,86428,9603110,1
Adyar,991,133,1,1,3,Yes,453646,13747,13746840,1
Adyar,1078,109,1,1,3,Yes,459507,170674,13128785,1
Velachery,1836,17,3,2,5,No,327216,81804,10225500,1
Karapakkam,1223,192,1,1,3,No,280818,76587,8509625,1
Velachery,1655,9,2,1,4,Yes,340234,130089,10006870,1
Chrompet,1192,23,1,1,3,No,248226,136124,8007290,1
Chrompet,732,54,1,1,2,No,199325,82479,6873290,1
Karapakkam,970,165,1,1,3,No,236236,53690,5369000,1
Chrompet,1060,36,1,1,3,No,342944,134728,12248000,1
Chrompet,832,98,1,1,3,Yes,278796,25345,8448350,1
T Nagar,1990,18,2,1,5,No,523827,220559,13784930,1
KK Nagar,1919,96,3,2,5,No,467218,163526,11680440,1
KK Nagar,1994,111,3,2,5,Yes,452574,154538,11038400,1
Chrompet,1296,145,2,1,4,Yes,316982,135849,11320770,1
Chrompet,704,135,1,1,2,No,278814,107928,8994000,1
Karapakkam,1321,61,1,1,3,Yes,310384,106695,9699500,1
Adyar,1070,152,1,1,3,No,462880,188045,14465005,1
Karapakkam,888,32,1,1,2,No,205172,60619,4663000,1
Chrompet,925,164,1,1,3,Yes,269966,49994,9998750,1
Chrompet,880,144,1,1,3,Yes,283960,34419,8604850,1
Karapakkam,805,119,1,1,2,Yes,263375,110250,6125000,1
T Nagar,1777,183,1,1,4,Yes,468023,173837,13372090,1
Anna Nagar,1703,66,1,1,4,No,729771,280681,18712070,1
T Nagar,1899,22,2,1,5,Yes,802811,156102,22300300,1
Chrompet,1169,50,1,1,3,Yes,411793,152516,15251600,1
Chrompet,819,108,1,1,3,No,206566,57838,8262630,1
Anna Nagar,1814,86,2,1,5,No,312326,192200,12012530,1
Chrompet,711,16,1,1,2,No,317544,134716,9622550,1
Anna Nagar,1669,26,1,1,4,Yes,544402,293139,20938520,1
Chrompet,1028,158,1,1,3,No,264036,28290,9429860,1
Chrompet,860,34,1,1,3,Yes,283227,29299,9766450,1
Chrompet,1266,123,2,1,4,Yes,300018,150009,9375550,1
Anna Nagar,1906,86,2,1,5,Yes,635941,295258,22712170,1
KK Nagar,2178,119,3,2,5,No,641433,190696,17336020,1
Chrompet,1300,73,2,1,4,No,402261,244230,14366450,1
Velachery,1614,166,2,1,4,Yes,590486,326321,15539100,1
Adyar,1175,200,1,1,3,No,253374,70382,7038165,1
Chrompet,1294,117,2,1,4,No,256303,85434,9492700,1
Chrompet,835,45,1,1,3,No,338071,76339,10905500,1
T Nagar,1964,117,2,1,5,No,787504,393752,21875100,1
Velachery,1754,127,2,1,4,Yes,392877,107148,11905350,1
Anna Nagar,1866,177,2,1,5,Yes,775222,265791,22149210,1
Velachery,1898,87,3,2,5,Yes,525894,175298,14608180,1
Chrompet,798,20,1,1,2,No,186094,33231,6646210,1
T Nagar,1626,170,1,1,4,Yes,524134,234957,18073600,1
KK Nagar,1657,63,2,1,4,No,355982,112416,9367960,1
Velachery,1766,169,2,1,4,Yes,577269,327639,15601870,1
Karapakkam,661,122,1,1,2,Yes,302250,186000,7750000,1
KK Nagar,2442,64,4,2,6,Yes,983922,491961,19678440,1
Adyar,914,185,1,1,3,No,300019,71057,7895235,1
Chrompet,885,32,1,1,3,No,272376,131144,10088000,1
Anna Nagar,1983,46,2,1,5,Yes,720625,360312,22519520,1
Anna Nagar,1522,94,1,1,4,Yes,503682,209867,13991160,1
Anna Nagar,1970,50,2,1,5,Yes,376087,210609,15043490,1
Velachery,1572,95,2,1,4,No,504218,177158,13627500,1
Anna Nagar,1507,140,1,1,4,Yes,682215,258136,18438250,1
KK Nagar,1330,115,1,1,3,No,486594,201758,11868140,1
KK Nagar,1373,61,2,1,4,Yes,400797,78204,9775540,1
Adyar,1118,59,1,1,3,Yes,273251,82803,8280325,1
Anna Nagar,1591,23,1,1,4,No,415918,59417,11883360,1
KK Nagar,1404,10,2,1,4,No,289390,195764,8511480,1
Anna Nagar,1867,117,2,1,5,No,612608,102101,20420270,1
KK Nagar,2479,92,4,2,6,No,508551,117358,13039760,1
KK Nagar,1768,30,2,1,4,Yes,655803,320615,14573400,1
Velachery,1650,73,2,1,4,Yes,352041,190292,9514610,1
Adyar,1035,166,1,1,3,No,299699,99900,9081775,1
Chrompet,936,182,1,1,3,Yes,297369,109035,9912300,1
Adyar,918,5,1,1,3,Yes,254199,7061,7061080,1
Chrompet,785,192,1,1,2,Yes,237586,144248,8485200,1
Chrompet,923,200,1,1,3,Yes,422834,150038,13639800,1
Anna Nagar,1592,110,1,1,4,Yes,490180,113118,18853070,1
KK Nagar,1350,63,2,1,4,Yes,472863,135104,13510380,1
Chrompet,1245,134,2,1,4,Yes,355260,136639,13663850,1
Karapakkam,1563,192,2,2,4,No,210537,80499,6192250,1
Chrompet,725,3,1,1,2,No,184444,120598,7094000,1
KK Nagar,2442,71,4,2,6,No,390242,201415,12588460,1
Chrompet,1110,141,1,1,3,Yes,344170,75287,10755300,1
Karapakkam,559,68,1,1,2,Yes,237534,64782,5398500,1
Anna Nagar,1708,81,1,1,4,Yes,535162,214065,21406480,1
Karapakkam,829,146,1,1,2,Yes,410544,179613,8553000,1
Anna Nagar,1744,155,1,1,4,No,688400,144926,18115790,1
T Nagar,1649,66,1,1,4,Yes,397976,174115,12436750,1
KK Nagar,1323,49,1,1,3,No,381281,297876,11915040,1
Velachery,1864,110,3,2,5,No,406564,180695,11293450,1
Velachery,1514,93,2,1,4,Yes,385017,192508,10694910,1
Anna Nagar,1669,54,1,1,4,No,351595,104176,13022050,1
Anna Nagar,1993,69,2,1,5,Yes,410238,142005,15778370,1
Karapakkam,1459,3,2,2,4,Yes,406818,113531,9460875,1
KK Nagar,2136,149,3,2,5,Yes,401983,129672,12967200,1
Karapakkam,1165,39,1,1,3,Yes,317420,128480,7557625,1
Adyar,1132,64,1,1,3,Yes,298383,47113,7852185,1
Karapakkam,813,99,1,1,2,No,172118,96554,4198000,1
Chrompet,815,139,1,1,3,Yes,299473,103664,11518200,1
Chrompet,1277,19,2,1,4,No,432216,72036,14407200,1
Chrompet,1028,54,1,1,3,No,324975,145679,11206050,1
Anna Nagar,1572,94,1,1,4,No,402827,219724,12206870,1
Velachery,1507,2,2,1,4,No,273256,101495,7807300,1
Chrompet,1002,70,1,1,3,Yes,327615,168772,9927740,1
Adyar,1023,102,1,1,3,No,367619,75686,10812320,1
Velachery,1506,65,2,1,4,Yes,235863,125794,7862110,1
KK Nagar,1348,139,2,1,4,No,346920,78845,7884540,1
Chrompet,1125,67,1,1,3,No,403680,78132,13021950,1
Chrompet,1066,184,1,1,3,No,327948,153726,10248370,1
Velachery,1797,96,2,1,4,Yes,653961,326980,16349020,1
KK Nagar,1459,32,2,1,4,No,299830,166572,8328620,1
Karapakkam,604,17,1,1,2,Yes,201407,90958,6497000,1
Velachery,1808,12,3,2,5,No,542034,138983,13898300,1
Chrompet,732,0,1,1,2,Yes,347126,184411,10847700,1
Chrompet,1205,141,2,1,4,No,333298,145818,10415550,1
Karapakkam,712,67,1,1,2,No,258291,147595,7379750,1
T Nagar,1710,194,1,1,4,No,373656,83035,13839120,1
Chrompet,1154,2,1,1,3,No,232026,69608,7734200,1
Anna Nagar,1783,14,1,1,4,Yes,436176,230204,12116010,1
Karapakkam,1221,180,1,1,3,Yes,255483,197793,8241375,1
Karapakkam,752,158,1,1,2,Yes,307513,72356,9044500,1
Velachery,1906,6,3,2,5,No,280487,117624,9047980,1
Karapakkam,1119,59,1,1,3,Yes,320785,111293,6546625,1
Chrompet,865,33,1,1,3,No,357951,130164,10847000,1
Chrompet,1224,153,2,1,4,No,246380,96792,8799300,1
T Nagar,1520,197,1,1,4,Yes,680262,244197,17442610,1
Karapakkam,1070,2,1,1,3,Yes,199596,74136,5702750,1
Anna Nagar,1719,126,1,1,4,No,411427,164571,13714220,1
Chrompet,752,116,1,1,2,No,246248,23086,7695240,1
Karapakkam,1624,64,2,2,4,No,374520,78025,7802500,1
Velachery,1590,59,2,1,4,No,412633,184599,10858770,1
Chrompet,779,35,1,1,2,Yes,261267,36037,9009200,1
Velachery,1789,98,2,1,4,Yes,389499,251289,12564470,1
Adyar,926,169,1,1,3,Yes,282018,96944,8813065,1
Chrompet,998,51,1,1,3,No,173807,55867,6207400,1
Chrompet,887,95,1,1,3,No,270704,156176,10411700,1
Chrompet,721,161,1,1,2,Yes,201475,50369,7195550,1
Velachery,1784,11,2,1,4,Yes,403077,185197,10893960,1
Karapakkam,907,142,1,1,3,Yes,314803,146420,7321000,1
KK Nagar,1997,135,3,2,5,Yes,488967,205881,12867540,1
Anna Nagar,1933,118,2,1,5,Yes,741521,130857,21809430,1
Velachery,1953,165,3,2,5,Yes,527849,247429,16495290,1
Chrompet,913,108,1,1,3,Yes,393442,98360,12295050,1
Chrompet,1060,44,1,1,3,No,346987,32530,10843350,1
KK Nagar,1601,133,2,1,4,Yes,500480,220211,10009600,1
Anna Nagar,1703,45,1,1,4,Yes,689438,301629,21544930,1
T Nagar,1812,129,2,1,5,Yes,497676,117100,14637520,1
Karapakkam,1145,145,1,1,3,Yes,453520,92555,9255500,1
T Nagar,1678,39,1,1,4,Yes,473939,59242,11848470,1
Chrompet,1262,139,2,1,4,Yes,314046,48315,12078690,1
Chrompet,1138,36,1,1,3,No,446859,72074,14414800,1
Anna Nagar,1943,172,2,1,5,Yes,628877,404278,22459910,1
Karapakkam,1277,190,1,1,3,No,455273,84702,10587750,1
Anna Nagar,1639,80,1,1,4,Yes,362663,203998,11333220,1
T Nagar,1580,35,1,1,4,No,694318,154293,19286610,1
T Nagar,1900,113,2,1,5,Yes,887450,266235,22186250,1
Karapakkam,698,110,1,1,2,Yes,103928,42221,3247750,1
Chrompet,1033,49,1,1,3,No,259560,48668,8111250,1
KK Nagar,1969,150,3,2,5,No,557356,320902,16889580,1
Anna Nagar,1847,30,2,1,5,Yes,614262,261061,15356550,1
Velachery,1563,179,2,1,4,No,243484,115655,6087100,1
Anna Nagar,1756,24,1,1,4,No,425381,170152,14179360,1
Anna Nagar,1698,9,1,1,4,No,522633,110028,13753510,1
Anna Nagar,1689,29,1,1,4,No,650601,167297,18588600,1
Anna Nagar,1680,61,1,1,4,No,387645,173772,13367060,1
Chrompet,1170,184,1,1,3,No,294909,107240,8936650,1
Karapakkam,1030,152,1,1,3,No,210771,56548,5140750,1
Karapakkam,1338,69,2,2,4,No,325632,115328,6784000,1
Adyar,1217,125,2,2,4,No,596351,119270,14908785,1
KK Nagar,1984,6,3,2,5,Yes,600245,160065,13338780,1
KK Nagar,2322,40,4,2,6,No,640454,266856,17790400,1
Anna Nagar,1691,145,1,1,4,No,414937,59277,11855350,1
Anna Nagar,1689,0,1,1,4,Yes,389833,89961,14993570,1
Anna Nagar,1703,167,1,1,4,Yes,397321,223493,12416270,1
Velachery,1828,142,3,2,5,Yes,298084,93684,8516690,1
Velachery,1545,65,2,1,4,No,188318,78972,6074780,1
Karapakkam,1686,15,2,2,4,Yes,388815,168136,10508500,1
Chrompet,1136,39,1,1,3,No,246465,123232,8802320,1
Velachery,1997,7,3,2,5,No,327267,142655,8391470,1
Adyar,878,103,1,1,3,No,291605,51460,8576620,1
Chrompet,1057,145,1,1,3,Yes,341480,177570,13659200,1
Karapakkam,521,51,1,1,2,No,71177,25883,2156875,1
Karapakkam,1457,42,2,2,4,Yes,248272,186204,7758500,1
Adyar,1021,42,1,1,3,Yes,456993,128529,14281030,1
Velachery,1519,2,2,1,4,Yes,456776,104406,13050750,1
Adyar,724,126,1,1,2,Yes,200785,81569,6274535,1
KK Nagar,2004,171,3,2,5,Yes,521968,156590,17398940,1
Chrompet,734,136,1,1,2,No,194195,32366,6473180,1
T Nagar,1770,176,1,1,4,Yes,360820,138777,13877710,1
Chrompet,814,194,1,1,3,No,211424,105712,8131700,1
KK Nagar,1486,53,2,1,4,Yes,518331,359952,14398080,1
Chrompet,1215,184,2,1,4,No,279216,130301,9307200,1
Adyar,973,4,1,1,3,No,393869,109408,10940805,1
Chrompet,869,200,1,1,3,Yes,271854,56246,9374280,1
Karapakkam,640,37,1,1,2,Yes,233940,107223,4873750,1
Chrompet,969,60,1,1,3,No,372378,111713,12412600,1
KK Nagar,1609,191,2,1,4,No,362914,207379,8640800,1
KK Nagar,1689,44,2,1,4,Yes,380206,234833,11182520,1
KK Nagar,1917,113,3,2,5,No,545003,284350,11847900,1
Chrompt,1178,90,1,1,3,Yes,340847,42606,10651460,1
Velachery,1530,69,2,1,4,No,360319,141944,10918760,1
Velachery,1622,66,2,1,4,Yes,387294,101920,10191950,1
Adyar,1013,153,1,1,3,Yes,410912,86508,10813485,1
Chrompet,1244,68,2,1,4,Yes,426409,249964,14703750,1
Velachery,1840,52,3,2,5,No,255539,98918,8243200,1
T Nagar,1930,13,2,1,5,No,351818,58636,11727250,1
Velachery,1942,91,3,2,5,No,267152,133576,8905050,1
Velachery,1722,108,2,1,4,Yes,378092,171860,11457330,1
Adyar,1182,187,1,1,3,Yes,507838,153890,15389035,1
Adyar,1246,44,2,2,4,Yes,460602,43181,14393810,1
Chrompet,925,93,1,1,3,Yes,270464,25356,8452000,1
Karapakkam,1434,166,2,2,4,No,253251,84417,7034750,1
Chrompet,1081,115,1,1,3,No,268332,71555,8944400,1
Chrompet,794,148,1,1,2,Yes,252982,61065,8723530,1
Adyar,685,83,1,1,2,No,206943,42606,6086550,1
KK Nagar,2025,3,3,2,5,No,688161,282323,17645160,1
Velachery,1581,161,2,1,4,Yes,314148,66136,8267060,1
KK Nagar,1731,191,2,1,4,No,451275,102563,10256260,1
Karapakkam,1243,51,1,1,3,Yes,468587,219949,9563000,1
Chrompet,1184,197,1,1,3,Yes,317773,59582,9930400,1
Velachery,1704,66,2,1,4,No,257781,156231,7811540,1
Adyar,961,178,1,1,3,Yes,281211,85926,7811430,1
Karapakkam,610,108,1,1,2,No,191979,117321,5332750,1
Adyar,640,77,1,1,2,No,212712,51566,6445810,1
Karapakkam,1650,140,2,2,4,No,392488,207788,11543750,1
Adyar,734,134,1,1,2,No,199803,27750,5550090,1
Chrompet,717,171,1,1,2,Yes,240168,115280,9606700,1
Karapakkam,1419,185,2,2,4,No,322516,94395,7866250,1
KK Nagar,2055,158,3,2,5,Yes,348127,220480,11604220,1
Chrompet,1010,23,1,1,3,Yes,272116,149225,8777950,1
Chrompet,1011,14,1,1,3,No,281296,146274,11251850,1
Anna Nagar,1806,68,2,1,5,Yes,730011,197300,19730040,1
Adyar,1225,15,2,2,4,No,251805,33574,8393515,1
Adyar,1252,177,2,2,4,Yes,321922,123088,9468300,1
Velachery,1913,143,3,2,5,Yes,583629,268154,15773770,1
Velachery,1729,17,2,1,4,Yes,379338,100413,11157010,1
T Nagar,1717,49,1,1,4,Yes,366245,183123,14086360,1
Karapakkam,1091,49,1,1,3,Yes,315347,67095,6709500,1
KK Nagar,1629,111,2,1,4,Yes,574707,124261,15532620,1
KK Nagar,1724,107,2,1,4,Yes,503359,133242,14804680,1
Chrompet,1198,29,1,1,3,No,304354,27669,9222850,1
Karapakkam,1329,109,1,1,3,No,180122,107216,4288625,1
Anna Nagar,1634,160,1,1,4,Yes,661033,351174,20657270,1
Karapakkam,979,27,1,1,3,Yes,337636,157040,7852000,1
Velachery,1749,154,2,1,4,No,398407,261455,12450220,1
Karapakkam,1446,79,2,2,4,No,338535,157983,11284500,1
Chrompet,1034,85,1,1,3,No,282835,45619,9123700,1
T Nagar,1722,166,1,1,4,No,324836,180465,12030980,1
Anna Nagar,1978,121,2,1,5,No,414278,106910,13363810,1
Velachery,1529,184,2,1,4,Yes,421730,177571,11098160,1
Chrompet,1074,72,1,1,3,Yes,421643,65882,13176350,1
KK Nagar,2341,192,4,2,6,No,847638,313258,18426920,1
Chrompet,1229,10,2,1,4,No,349999,94231,13461500,1
Chrompet,1215,177,2,1,4,Yes,268551,64452,10742050,1
Anna Nagar,1648,145,1,1,4,No,485530,202304,13486940,1
T Nagar,1795,51,1,1,4,No,359336,221130,13820610,1
Velachery,1889,49,3,2,5,No,445114,311580,14837130,1
KK Nagar,1527,171,2,1,4,Yes,339897,175099,10299920,1
Chrompet,951,96,1,1,3,No,310964,30093,10031100,1
T Nagar,1993,62,2,1,5,Yes,499629,216056,13503490,1
KK Nagar,2329,2,4,2,6,Yes,818342,359272,19959560,1
Adyar,1094,1,1,1,3,Yes,246928,61732,7716505,1
T Nagar,1796,100,1,1,4,Yes,477032,116035,12892760,1
Chrompet,946,45,1,1,3,No,234377,70313,7812550,1
Velachery,1697,26,2,1,4,No,316343,143792,9586150,1
Anna Nagar,1813,186,2,1,5,No,378073,73175,12195890,1
KK Nagar,1656,55,2,1,4,Yes,428273,208349,11574940,1
Anna Nagar,1738,37,1,1,4,Yes,741809,275529,21194540,1
Chrompet,1155,42,1,1,3,Yes,244550,166294,9782000,1
Chrompet,768,9,1,1,2,No,185735,46434,6633410,1
Velachery,1818,125,3,2,5,Yes,325427,154149,8563860,1
Adyar,1199,190,1,1,3,No,395284,19764,9882100,1
Anna Nagar,1658,157,1,1,4,No,652034,211470,17622540,1
KK Nagar,2034,18,3,2,5,Yes,641170,115411,12823400,1
Anna Nagar,1899,49,2,1,5,Yes,462916,175157,12511230,1
KK Nagar,1621,93,2,1,4,Yes,518332,210572,16197860,1
Velachery,1660,107,2,1,4,Yes,344530,65181,9311620,1
Karapakkam,1037,130,1,1,3,Yes,266987,186082,8090500,1
Chrompet,868,171,1,1,3,No,189725,75890,7589010,1
Karapakkam,783,174,1,1,2,Yes,276968,113628,7101750,1
Velachery,1642,87,2,1,4,No,613616,107383,15340410,1
Anna Nagar,1618,158,1,1,4,Yes,287048,88322,11040310,1
Velachery,1645,186,2,1,4,No,325060,74299,9287430,1
Karapakkam,1150,103,1,1,3,No,219311,56103,5100250,1
KK Nagar,2186,18,3,2,5,Yes,478999,197235,14088220,1
Velachery,1911,162,3,2,5,No,467076,249107,15569210,1
Chrompet,1058,19,1,1,3,Yes,233915,120730,7545650,1
T Nagar,1720,80,1,1,4,Yes,387948,109110,12123360,1
KK Nagar,1719,96,2,1,4,Yes,339917,95602,10622400,1
Chrompet,1191,102,1,1,3,Yes,333890,93489,13355600,1
Anna Nagar,1903,183,2,1,5,No,474897,171491,13191580,1
Chrompet,1039,28,1,1,3,Yes,218593,69950,8743700,1
Adyar,816,21,1,1,3,No,229692,17227,5742295,1
